$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1162168973,1,YX13AFO,490003803W,Woolwich Road / Bedonwell Road,469,469,G,inbound,254,,"Woolwich Common,Queen Elizabeth Hospital",2023-06-24T10:03:57.3019223Z,542,,Abbey Wood & Plumstead,2023-06-24T10:12:59Z,2023-06-24T10:13:29Z,bus,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '-00:00:02.9756203', 'source': '2023-06-24T07:31:10.629Z', 'insert': '2023-06-24T10:03:28.284Z', 'read': '2023-06-24T10:03:25.299Z', 'sent': '2023-06-24T10:03:57Z', 'received': '0001-01-01T00:00:00Z'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1090089083,1,YX13AFU,490003803W,Woolwich Road / Bedonwell Road,469,469,G,inbound,254,,"Woolwich Common,Queen Elizabeth Hospital",2023-06-24T10:03:57.3019223Z,1188,,Abbey Wood & Plumstead,2023-06-24T10:23:45Z,2023-06-24T10:24:15Z,bus,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '-00:00:02.9474596', 'source': '2023-06-24T07:31:10.629Z', 'insert': '2023-06-24T10:03:48.363Z', 'read': '2023-06-24T10:03:45.346Z', 'sent': '2023-06-24T10:03:57Z', 'received': '0001-01-01T00:00:00Z'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1189178957,1,LJ59ADZ,490003803W,Woolwich Road / Bedonwell Road,99,99,G,inbound,254,,Woolwich,2023-06-24T10:03:57.3019223Z,253,,Abbey Wood & Plumstead,2023-06-24T10:08:10Z,2023-06-24T10:08:40Z,bus,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '-00:00:02.9718323', 'source': '2023-06-24T07:31:10.629Z', 'insert': '2023-06-24T10:03:28.284Z', 'read': '2023-06-24T10:03:25.299Z', 'sent': '2023-06-24T10:03:57Z', 'received': '0001-01-01T00:00:00Z'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1257861030,1,LJ60AXP,490003803W,Woolwich Road / Bedonwell Road,99,99,G,inbound,254,,Woolwich,2023-06-24T10:03:57.3019223Z,837,,Abbey Wood & Plumstead,2023-06-24T10:17:54Z,2023-06-24T10:18:24Z,bus,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '-00:00:02.9475917', 'source': '2023-06-24T07:31:10.629Z', 'insert': '2023-06-24T10:03:08.247Z', 'read': '2023-06-24T10:03:05.268Z', 'sent': '2023-06-24T10:03:57Z', 'received': '0001-01-01T00:00:00Z'}"
